time,day_of_week,location,is_holiday,weather_condition,total_slots,free_slots_4w,free_slots_2w,event_nearby
20:00-22:00,Monday,Citywide Parking Overview,0,Sunny,5300,261,1257,0
14:00-16:00,Tuesday,Freedom Park,0,Sunny,1400,533,249,0
14:00-16:00,Wednesday,Church Street,0,Windy,500,28,56,1
08:00-10:00,Sunday,Freedom Park,0,Windy,1400,187,62,1
16:00-18:00,Thursday,Commercial Street,0,Sunny,325,19,79,0
20:00-22:00,Sunday,Jayanagar 4th Block,0,Rainy,550,13,25,0
16:00-18:00,Friday,KR Market Parking Complex,0,Rainy,370,17,35,0
22:00-24:00,Sunday,"Mantri Square Mall, Malleswaram",1,Windy,2350,783,97,0
08:00-10:00,Friday,Church Street,0,Rainy,500,61,93,1
12:00-14:00,Saturday,Citywide Parking Overview,0,Rainy,5300,233,819,0
22:00-24:00,Tuesday,Indiranagar 100 Feet Road,0,Windy,400,31,98,1
06:00-08:00,Wednesday,Church Street,0,Rainy,500,56,62,1
22:00-24:00,Sunday,"Phoenix Marketcity, Whitefield",0,Windy,2200,579,121,0
02:00-04:00,Thursday,KR Market Parking Complex,0,Sunny,370,36,73,0
14:00-16:00,Sunday,"Total Mall, Old Airport Road",1,Cloudy,300,27,63,0
00:00-02:00,Monday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,668,186,0
14:00-16:00,Saturday,"Mantri Square Mall, Malleswaram",0,Sunny,2350,663,198,0
22:00-24:00,Friday,Indiranagar 100 Feet Road,0,Windy,400,56,62,0
08:00-10:00,Monday,"Phoenix Marketcity, Whitefield",1,Rainy,2200,336,101,0
20:00-22:00,Tuesday,Citywide Parking Overview,0,Sunny,5300,237,565,0
00:00-02:00,Sunday,"Total Mall, Old Airport Road",1,Sunny,300,38,35,0
20:00-22:00,Monday,KR Market Parking Complex,0,Rainy,370,12,59,0
02:00-04:00,Sunday,Indiranagar 100 Feet Road,0,Sunny,400,45,40,0
02:00-04:00,Sunday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,282,165,0
22:00-24:00,Wednesday,"Manyata Tech Park, Hebbal",0,Cloudy,1700,678,220,0
06:00-08:00,Sunday,Church Street,0,Windy,500,41,56,0
22:00-24:00,Saturday,Brigade Road,1,Sunny,385,29,88,1
08:00-10:00,Thursday,Commercial Street,0,Sunny,325,36,62,0
02:00-04:00,Wednesday,JC Road Multi-Level Parking,0,Sunny,300,40,25,1
12:00-14:00,Sunday,"Manyata Tech Park, Hebbal",0,Windy,1700,365,162,0
00:00-02:00,Monday,KR Market Parking Complex,1,Sunny,370,25,81,0
06:00-08:00,Friday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,1291,199,0
04:00-06:00,Monday,Commercial Street,0,Windy,325,21,142,0
06:00-08:00,Wednesday,"International Tech Park (ITPL), Whitefield",1,Sunny,1400,211,79,0
10:00-12:00,Saturday,"Total Mall, Old Airport Road",0,Rainy,300,11,52,0
14:00-16:00,Friday,Citywide Parking Overview,0,Sunny,5300,662,2247,0
08:00-10:00,Friday,"Manyata Tech Park, Hebbal",0,Windy,1700,489,192,0
08:00-10:00,Tuesday,"International Tech Park (ITPL), Whitefield",0,Windy,1400,395,107,0
08:00-10:00,Tuesday,Citywide Parking Overview,0,Sunny,5300,988,1973,0
12:00-14:00,Saturday,Jayanagar 4th Block,0,Rainy,550,86,123,0
10:00-12:00,Monday,"Phoenix Marketcity, Whitefield",0,Cloudy,2200,416,86,1
00:00-02:00,Tuesday,KR Market Parking Complex,1,Windy,370,7,96,1
12:00-14:00,Sunday,"International Tech Park (ITPL), Whitefield",0,Rainy,1400,205,102,0
08:00-10:00,Friday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,345,203,0
16:00-18:00,Wednesday,JC Road Multi-Level Parking,0,Windy,300,51,24,0
06:00-08:00,Sunday,Commercial Street,0,Windy,325,29,57,0
14:00-16:00,Saturday,"Mantri Square Mall, Malleswaram",0,Windy,2350,398,194,0
06:00-08:00,Saturday,JC Road Multi-Level Parking,0,Sunny,300,35,26,0
08:00-10:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,480,147,0
08:00-10:00,Friday,"Phoenix Marketcity, Whitefield",0,Rainy,2200,320,167,1
14:00-16:00,Monday,JC Road Multi-Level Parking,0,Sunny,300,58,61,0
16:00-18:00,Tuesday,"Phoenix Marketcity, Whitefield",0,Windy,2200,326,112,0
22:00-24:00,Sunday,Jayanagar 4th Block,1,Cloudy,550,33,138,0
04:00-06:00,Saturday,"International Tech Park (ITPL), Whitefield",1,Windy,1400,163,150,0
02:00-04:00,Friday,Jayanagar 4th Block,0,Rainy,550,159,126,0
12:00-14:00,Wednesday,KR Market Parking Complex,0,Cloudy,370,22,63,1
10:00-12:00,Tuesday,Freedom Park,0,Sunny,1400,273,260,0
02:00-04:00,Saturday,"Total Mall, Old Airport Road",0,Rainy,300,25,36,1
20:00-22:00,Sunday,Brigade Road,0,Windy,385,12,53,1
16:00-18:00,Tuesday,Freedom Park,0,Cloudy,1400,127,57,1
14:00-16:00,Saturday,JC Road Multi-Level Parking,0,Sunny,300,37,47,0
18:00-20:00,Sunday,"Total Mall, Old Airport Road",0,Windy,300,17,20,1
20:00-22:00,Sunday,Indiranagar 100 Feet Road,0,Rainy,400,20,42,0
22:00-24:00,Monday,Commercial Street,0,Rainy,325,25,130,0
16:00-18:00,Friday,Brigade Road,0,Windy,385,20,34,0
16:00-18:00,Tuesday,Jayanagar 4th Block,0,Rainy,550,40,35,0
08:00-10:00,Monday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,255,77,1
02:00-04:00,Sunday,Commercial Street,0,Windy,325,19,61,0
08:00-10:00,Saturday,Freedom Park,1,Sunny,1400,445,115,0
04:00-06:00,Monday,Freedom Park,0,Cloudy,1400,232,178,1
02:00-04:00,Wednesday,Commercial Street,0,Cloudy,325,22,78,0
18:00-20:00,Saturday,Commercial Street,0,Rainy,325,11,33,1
20:00-22:00,Saturday,"Manyata Tech Park, Hebbal",0,Cloudy,1700,124,37,0
22:00-24:00,Tuesday,"Total Mall, Old Airport Road",0,Cloudy,300,70,87,0
20:00-22:00,Friday,Citywide Parking Overview,0,Cloudy,5300,316,936,0
16:00-18:00,Wednesday,"Manyata Tech Park, Hebbal",0,Sunny,1700,159,115,0
08:00-10:00,Friday,Freedom Park,0,Cloudy,1400,500,124,0
00:00-02:00,Monday,Freedom Park,0,Windy,1400,372,116,0
